rid,org_id,sex,age,tenure_yr,LS_TOT,org_size,W1_SC_p1,W1_SC_p2,W1_SC_p3,W1_WE_p1,W1_WE_p2,W1_WE_p3,W1_TI_p1,W1_TI_p2,W1_TI_p3,W2_SC_p1,W2_SC_p2,W2_SC_p3,W2_WE_p1,W2_WE_p2,W2_WE_p3,W2_TI_p1,W2_TI_p2,W2_TI_p3,W3_SC_p1,W3_SC_p2,W3_SC_p3,W3_WE_p1,W3_WE_p2,W3_WE_p3,W3_TI_p1,W3_TI_p2,W3_TI_p3
R0113,ORG11,1,24,2.3,2.6,2213,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
R0114,ORG11,2,21,2.6,3.4,2213,3.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,3.0,2.0,,,,,,,,,
R0115,ORG12,1,31,1.5,3.6,914,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0
R0116,ORG12,1,26,11.9,3.0,914,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0
R0117,ORG12,2,24,2.7,3.0,914,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0
R0118,ORG12,2,33,3.5,3.4,914,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0
R0119,ORG12,2,29,2.1,2.0,914,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
R0120,ORG12,1,29,2.6,2.8000000000000003,914,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0
R0121,ORG12,2,25,0.7,3.8000000000000003,914,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0
R0122,ORG12,2,38,2.5,2.6,914,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0
R0123,ORG12,1,39,6.3,4.0,914,3.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0
R0124,ORG12,2,34,6.0,4.0,914,3.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0
R0125,ORG13,2,34,3.8,1.5999999999999999,1729,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0
R0126,ORG13,2,32,12.9,2.6,1729,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
R0127,ORG13,1,38,4.6,1.8,1729,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0
R0128,ORG13,2,35,5.3,1.5999999999999999,1729,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0
R0129,ORG13,2,36,1.8,2.0,1729,4.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0
R0130,ORG13,2,30,4.3,3.0,1729,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
R0131,ORG13,2,28,2.3,2.4,1729,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0,5.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0
R0132,ORG13,1,39,5.8,4.2,1729,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0
R0133,ORG14,2,39,5.7,2.8000000000000003,2544,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0
R0134,ORG14,1,39,2.6,2.4,2544,2.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,2.0,3.0,,,,,,,,,
R0136,ORG14,1,31,2.1,2.0,2544,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0
R0138,ORG14,2,38,0.7,2.0,2544,3.0,3.0,3.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,4.0
R0139,ORG14,1,26,1.7,2.8000000000000003,2544,2.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0
R0141,ORG14,2,21,1.0,3.0,2544,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,
R0142,ORG14,2,32,5.0,1.5999999999999999,2544,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
R0143,ORG14,2,25,4.1,3.6,2544,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0
R0144,ORG14,1,23,6.1,3.0,2544,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
R0145,ORG14,2,35,8.6,3.8000000000000003,2544,3.0,1.0,2.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0
R0146,ORG15,2,29,2.7,4.6000000000000005,1408,4.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,
R0147,ORG15,1,27,2.4,4.8,1408,4.0,5.0,4.0,3.0,4.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,5.0,4.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,4.0,5.0,2.0,1.0,1.0
R0148,ORG15,1,35,3.7,3.6,1408,4.0,4.0,5.0,3.0,5.0,4.0,2.0,2.0,1.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0
R0149,ORG15,2,28,1.9,3.8000000000000003,1408,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0
R0150,ORG15,2,40,3.2,3.6,1408,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0
R0151,ORG15,1,30,1.9,4.2,1408,3.0,3.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0
R0152,ORG15,2,33,5.0,4.3999999999999995,1408,2.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0
R0153,ORG15,2,32,1.4,3.6,1408,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0
R0154,ORG15,2,25,2.1,4.0,1408,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0
R0155,ORG15,1,30,0.6,3.6,1408,2.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0
R0156,ORG15,1,38,0.2,3.1999999999999997,1408,5.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,,,,,,,,,
R0157,ORG15,1,35,6.9,3.8000000000000003,1408,4.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0
R0159,ORG16,1,27,6.4,4.0,1713,2.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0
R0161,ORG16,2,32,7.4,2.8000000000000003,1713,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0
R0162,ORG16,2,38,7.0,4.3999999999999995,1713,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,,,,,,,,,
R0163,ORG16,1,31,2.9,2.6,1713,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0
R0164,ORG16,1,32,0.5,3.4,1713,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0
R0165,ORG16,1,29,1.7,3.0,1713,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,,,,,,,,,
R0166,ORG16,2,36,3.7,3.4,1713,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0
R0167,ORG16,2,39,2.4,5.0,1713,4.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
R0168,ORG16,2,26,10.5,5.0,1713,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0
R0169,ORG16,2,34,4.4,2.6,1713,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0
R0170,ORG16,2,32,1.8,4.0,1713,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,2.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,2.0,2.0,2.0
R0171,ORG16,2,33,3.1,4.6000000000000005,1713,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0
R0172,ORG17,1,35,2.1,1.5999999999999999,2469,5.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0
R0173,ORG17,2,35,0.6,1.5999999999999999,2469,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0
R0175,ORG17,1,32,0.2,2.0,2469,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0
R0176,ORG17,2,28,0.6,1.2,2469,4.0,4.0,2.0,4.0,3.0,5.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,
R0177,ORG17,2,22,3.0,1.8,2469,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0
R0178,ORG17,2,30,2.4,3.1999999999999997,2469,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0
R0180,ORG18,2,28,10.6,2.1999999999999997,425,3.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0
R0181,ORG18,1,27,6.8,4.0,425,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0
R0183,ORG18,1,32,3.3,3.0,425,3.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0
R0184,ORG18,1,34,3.6,4.0,425,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,,,,,,,,
R0185,ORG18,2,37,2.6,4.0,425,3.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0
R0186,ORG18,2,31,3.5,3.6,425,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
R0187,ORG18,2,27,0.1,3.8000000000000003,425,2.0,2.0,2.0,3.0,2.0,3.0,5.0,5.0,5.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0
R0188,ORG18,2,28,2.7,3.1999999999999997,425,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0
R0189,ORG18,1,27,0.5,3.1999999999999997,425,4.0,3.0,5.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0
R0190,ORG18,1,31,8.4,3.1999999999999997,425,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,,,,,,,,,
R0191,ORG18,1,30,0.2,2.8000000000000003,425,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0
R0192,ORG19,1,35,3.2,2.6,2362,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0
R0193,ORG19,2,28,2.2,2.5,2362,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
R0194,ORG19,1,29,4.1,2.4,2362,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
R0195,ORG19,2,26,5.2,1.5999999999999999,2362,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,,,,,,,,,
R0196,ORG19,2,32,5.4,2.6,2362,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,2.0,3.0,,,,,,,,,
R0197,ORG19,1,31,3.1,3.0,2362,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,5.0,,,,,,,,,
R0198,ORG20,1,38,10.7,2.4,1711,4.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,4.0,2.0
R0199,ORG20,1,29,1.0,3.0,1711,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,5.0
R0201,ORG20,1,33,5.8,3.1999999999999997,1711,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0
R0202,ORG20,1,26,0.5,1.4000000000000001,1711,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0
R0203,ORG20,2,27,0.4,2.4,1711,1.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
R0204,ORG20,2,26,7.4,3.0,1711,2.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0
R0205,ORG20,2,28,1.6,3.4,1711,5.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0
R0206,ORG20,2,29,1.0,3.1999999999999997,1711,5.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0
R0207,ORG20,1,31,4.2,4.0,1711,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0
R0208,ORG21,2,32,13.0,3.4,2360,5.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0
R0210,ORG21,1,32,4.0,2.6,2360,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0
R0211,ORG21,2,20,2.4,4.2,2360,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0
R0212,ORG21,1,24,2.0,4.0,2360,3.0,3.0,4.0,3.0,4.0,5.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0
R0213,ORG21,1,30,1.2,4.2,2360,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0
R0214,ORG21,1,26,4.9,4.2,2360,3.0,3.0,4.0,4.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,5.0,4.0,5.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0
R0215,ORG21,2,37,6.2,3.4,2360,4.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,
R0216,ORG21,1,30,0.3,3.0,2360,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,1.0,2.0
R0217,ORG21,2,31,3.7,2.4,2360,3.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,,,,,,,,,
R0218,ORG22,2,42,2.4,3.4,2768,3.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0
R0219,ORG22,1,30,5.5,4.0,2768,4.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,,,,,,,,,
R0220,ORG22,2,27,1.0,3.0,2768,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
R0221,ORG22,1,31,5.3,4.3999999999999995,2768,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,5.0,5.0
R0222,ORG22,2,35,1.9,3.8000000000000003,2768,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,
R0224,ORG22,1,33,3.6,3.4,2768,3.0,3.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0
R0225,ORG22,2,32,6.1,2.4,2768,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,,,,,,,,,
R0226,ORG22,2,24,4.1,4.2,2768,2.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0
R0227,ORG22,1,31,3.5,3.4,2768,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0
R0228,ORG22,1,33,5.2,3.6,2768,5.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0
R0229,ORG22,1,37,0.4,4.8,2768,3.0,3.0,4.0,5.0,5.0,5.0,2.0,1.0,2.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,2.0,3.0,3.0
R0230,ORG22,1,29,1.0,3.1999999999999997,2768,3.0,4.0,4.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,5.0
R0231,ORG22,2,32,3.5,3.1999999999999997,2768,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0
