rid,org_id,sex,age,edu,tenure_yr,career_yr,n_prev_job,rank,firm_size,emp_type,wage_10k,SC_TOT,WE_TOT,TI_TOT,LS_TOT,time_months,event
R0216,ORG21,1,30,3,0.3,3.4,2,2,2,1,249.0,3.0,3.0,3.0,3.0,28.7,0.0
R0217,ORG21,2,31,3,3.7,5.8,0,1,3,1,193.0,2.217391304347826,2.5,4.666666666666667,2.4,6.8,1.0
R0218,ORG22,2,42,3,2.4,5.7,2,2,1,1,425.0,3.375,3.5,1.6666666666666667,3.4,28.5,0.0
R0219,ORG22,1,30,3,5.5,6.7,2,3,2,1,191.0,3.25,3.4166666666666665,3.3333333333333335,4.0,7.7,1.0
R0220,ORG22,2,27,3,1.0,5.2,3,1,1,1,1678.0,3.0,3.0,3.0,3.0,0.5,1.0
R0221,ORG22,1,31,3,5.3,8.3,2,2,1,1,272.0,3.2083333333333335,3.4166666666666665,4.0,4.3999999999999995,1.6,1.0
R0222,ORG22,2,35,3,1.9,11.0,2,2,1,2,260.0,3.2083333333333335,3.75,2.3333333333333335,3.8000000000000003,30.2,0.0
R0224,ORG22,1,33,3,3.6,6.4,2,1,1,1,191.0,3.5416666666666665,2.25,4.0,3.4,6.2,1.0
R0225,ORG22,2,32,2,6.1,10.1,2,1,2,2,144.0,2.5416666666666665,3.0833333333333335,3.6666666666666665,2.4,3.0,1.0
R0226,ORG22,2,24,3,4.1,6.0,1,2,1,1,231.0,3.2083333333333335,3.5833333333333335,3.0,4.2,4.0,1.0
R0227,ORG22,1,31,3,3.5,6.2,2,1,3,1,459.0,2.9166666666666665,3.5833333333333335,3.0,3.4,19.1,0.0
R0228,ORG22,1,33,3,5.2,6.9,2,2,2,1,270.0,2.5217391304347827,3.25,3.6666666666666665,3.6,3.7,1.0
R0229,ORG22,1,37,1,0.4,1.6,1,1,1,1,194.0,3.7916666666666665,4.416666666666667,2.0,4.8,30.7,0.0
R0230,ORG22,1,29,3,1.0,4.4,1,2,1,2,,3.9583333333333335,1.8333333333333333,3.6666666666666665,3.1999999999999997,0.2,1.0
R0231,ORG22,2,32,3,3.5,5.3,2,1,1,2,339.0,3.0833333333333335,3.5833333333333335,3.3333333333333335,3.1999999999999997,19.3,0.0
R0232,ORG22,2,30,2,2.7,4.5,1,3,1,1,351.0,3.0,3.0,3.0,3.0,24.0,1.0
R0233,ORG22,2,32,5,0.4,2.2,2,2,1,1,243.0,2.4166666666666665,4.166666666666667,3.6666666666666665,3.4,9.4,1.0
R0234,ORG22,1,29,3,4.0,4.3,0,1,1,1,256.0,1.8333333333333333,3.0833333333333335,3.3333333333333335,3.6,3.2,1.0
R0236,ORG22,1,28,1,0.2,1.8,2,3,2,1,,2.6666666666666665,2.3333333333333335,4.666666666666667,4.6000000000000005,12.4,1.0
R0237,ORG22,1,28,3,1.7,6.5,1,1,1,1,254.0,3.25,4.75,3.3333333333333335,4.2,0.8,1.0
R0238,ORG23,2,20,4,4.0,6.0,1,1,2,1,263.0,2.9166666666666665,2.6666666666666665,3.0,2.1999999999999997,3.0,1.0
R0239,ORG23,1,26,3,0.5,4.4,1,3,1,1,217.0,3.375,3.1666666666666665,4.333333333333333,3.1999999999999997,2.3,1.0
R0240,ORG23,2,38,1,0.5,1.8,0,1,1,1,439.0,3.0,3.0,3.0,3.0,9.0,1.0
R0241,ORG23,2,35,5,6.0,6.3,1,1,1,2,211.0,3.5833333333333335,3.3333333333333335,3.6666666666666665,3.4,1.3,1.0
R0242,ORG23,2,25,2,2.0,9.0,1,3,1,1,667.0,3.0833333333333335,2.5,4.333333333333333,4.2,1.1,1.0
R0243,ORG23,1,21,2,8.6,8.7,2,3,1,1,172.0,3.125,2.6666666666666665,3.0,2.4,9.9,0.0
R0244,ORG23,2,35,2,0.6,1.8,0,3,3,1,365.0,3.5,4.25,2.0,3.6,12.4,0.0
R0245,ORG23,1,34,2,5.6,8.9,1,2,3,1,247.0,2.625,4.75,3.0,3.8000000000000003,26.3,1.0
R0246,ORG24,1,31,2,1.6,2.9,0,1,2,1,164.0,3.4583333333333335,2.75,3.6666666666666665,2.6,27.2,0.0
R0247,ORG24,2,28,3,0.9,2.6,3,3,2,1,,3.0,3.0,3.0,3.0,10.8,1.0
R0248,ORG24,1,22,3,6.2,12.9,2,2,1,1,155.0,2.4782608695652173,3.9166666666666665,2.6666666666666665,3.8000000000000003,26.0,0.0
R0249,ORG24,1,34,3,1.8,2.7,4,2,1,1,97.0,2.4583333333333335,3.727272727272727,2.3333333333333335,4.2,19.4,1.0
R0250,ORG24,1,33,3,1.9,9.2,2,1,1,1,161.0,2.125,3.25,3.6666666666666665,4.3999999999999995,23.6,0.0
R0251,ORG24,2,36,3,1.8,4.4,1,2,3,1,112.0,3.6666666666666665,4.5,4.0,2.6,11.3,1.0
R0252,ORG24,1,28,3,2.9,5.4,0,2,1,1,472.0,2.875,3.6666666666666665,2.3333333333333335,1.8,1.2,1.0
R0253,ORG24,2,34,3,0.6,2.1,2,1,1,1,190.0,3.375,3.6666666666666665,1.6666666666666667,4.2,13.4,0.0
R0254,ORG25,1,37,2,10.5,11.8,2,3,2,1,,3.4166666666666665,3.3333333333333335,3.0,3.4,6.4,1.0
R0255,ORG25,1,33,3,2.0,4.6,1,4,3,1,217.0,2.6666666666666665,3.8333333333333335,3.3333333333333335,1.5999999999999999,3.2,1.0
R0256,ORG25,1,31,2,2.1,3.0,2,2,2,1,174.0,2.3333333333333335,3.3333333333333335,3.0,2.8000000000000003,10.2,1.0
R0257,ORG25,2,23,3,4.9,9.4,1,3,2,2,228.0,2.8333333333333335,3.4166666666666665,2.6666666666666665,3.1999999999999997,12.9,0.0
R0258,ORG25,1,31,2,4.1,10.4,3,2,1,1,265.0,2.5,4.166666666666667,4.666666666666667,3.6,15.8,1.0
R0259,ORG25,1,22,4,6.1,8.3,4,3,1,1,166.0,2.739130434782609,3.6666666666666665,3.0,3.1999999999999997,0.9,1.0
R0260,ORG25,1,39,2,1.7,2.4,1,1,1,1,265.0,2.7916666666666665,3.1666666666666665,3.3333333333333335,2.1999999999999997,0.9,1.0
R0261,ORG25,1,35,3,2.4,4.4,3,1,1,1,220.0,2.5,3.0833333333333335,3.0,2.0,32.3,0.0
R0262,ORG25,1,31,2,9.5,9.5,2,4,1,1,111.0,3.0833333333333335,1.8333333333333333,3.3333333333333335,1.2,2.5,1.0
R0263,ORG26,2,30,3,8.5,12.7,2,3,1,1,123.0,2.9166666666666665,3.6666666666666665,3.3333333333333335,3.8000000000000003,32.8,0.0
R0264,ORG26,2,29,3,2.5,3.8,0,3,2,1,223.0,2.8333333333333335,4.583333333333333,3.0,3.4,32.3,0.0
R0265,ORG26,1,30,5,0.4,5.3,0,2,1,1,298.0,2.75,2.6666666666666665,3.6666666666666665,2.6,5.9,1.0
R0266,ORG26,2,31,3,0.1,4.0,2,1,1,1,168.0,3.125,3.9166666666666665,2.0,3.1999999999999997,27.8,0.0
R0267,ORG26,1,27,3,0.5,1.8,4,1,2,1,249.0,3.0,2.25,3.0,2.6,10.3,1.0
R0268,ORG26,2,30,3,1.8,3.1,0,2,1,1,215.0,2.9166666666666665,3.25,3.0,4.3999999999999995,15.2,0.0
R0269,ORG26,1,30,2,3.9,6.0,3,2,3,1,215.0,3.0833333333333335,2.4545454545454546,3.3333333333333335,3.0,23.4,0.0
R0270,ORG26,1,29,2,6.8,9.2,1,1,1,1,194.0,3.0416666666666665,4.416666666666667,1.6666666666666667,4.6000000000000005,28.7,0.0
R0272,ORG27,1,34,3,1.7,3.4,1,3,1,1,377.0,3.4166666666666665,3.0,4.0,2.5,12.6,1.0
R0273,ORG27,1,36,1,5.0,5.6,1,1,1,1,191.0,3.1666666666666665,3.25,3.0,2.4,27.4,0.0
R0274,ORG27,2,28,3,10.5,13.1,3,1,1,1,289.0,2.8260869565217392,3.0833333333333335,2.6666666666666665,1.5999999999999999,21.4,0.0
R0275,ORG27,2,38,2,1.6,6.6,4,1,1,1,215.0,3.5,3.5833333333333335,3.3333333333333335,2.6,35.2,0.0
R0276,ORG27,1,24,3,4.3,8.4,1,1,3,1,191.0,3.5416666666666665,2.6666666666666665,3.6666666666666665,3.1999999999999997,13.5,1.0
R0277,ORG27,2,28,3,3.3,5.5,1,1,1,1,341.0,2.9583333333333335,3.5833333333333335,3.3333333333333335,1.8,10.8,0.0
R0278,ORG27,1,39,3,3.4,5.3,3,1,1,1,269.0,1.9583333333333333,3.6666666666666665,3.0,2.6,26.5,1.0
R0279,ORG27,1,31,3,11.1,15.8,1,1,1,1,187.0,2.4166666666666665,2.4166666666666665,4.666666666666667,3.4,3.4,1.0
R0280,ORG27,2,30,3,1.9,3.3,1,1,2,1,338.0,2.375,3.0833333333333335,3.3333333333333335,3.6,10.8,1.0
R0281,ORG27,2,32,3,5.6,12.0,0,1,1,1,155.0,3.0434782608695654,2.8333333333333335,4.333333333333333,2.8000000000000003,4.0,1.0
R0282,ORG27,2,29,3,4.4,6.4,1,3,1,1,208.0,3.2916666666666665,3.9166666666666665,2.6666666666666665,4.3999999999999995,16.5,0.0
R0283,ORG28,1,32,3,4.8,6.7,0,2,2,1,185.0,3.2916666666666665,4.25,3.0,3.8000000000000003,35.7,0.0
R0284,ORG28,2,32,2,0.9,3.4,2,1,1,1,215.0,3.3333333333333335,3.1666666666666665,2.0,4.2,20.2,1.0
R0285,ORG28,1,31,3,3.3,7.1,2,1,1,1,,2.8333333333333335,3.0833333333333335,2.3333333333333335,4.0,20.2,0.0
R0286,ORG28,1,24,2,1.8,10.1,1,3,2,1,248.0,2.7083333333333335,1.9166666666666667,4.666666666666667,3.0,7.5,1.0
R0287,ORG28,1,28,3,2.8,3.6,3,1,1,1,506.0,3.0833333333333335,2.1666666666666665,4.0,4.2,1.0,1.0
R0288,ORG29,2,32,3,2.4,3.3,1,1,1,1,254.0,2.8333333333333335,2.4166666666666665,2.3333333333333335,3.6,17.7,0.0
R0289,ORG29,2,26,3,5.8,5.9,1,1,1,1,363.0,3.5416666666666665,3.1666666666666665,4.333333333333333,2.5,6.9,1.0
R0290,ORG29,1,26,3,0.5,5.6,2,3,3,1,376.0,2.7083333333333335,3.1666666666666665,2.0,2.8000000000000003,6.6,1.0
R0291,ORG29,1,27,3,0.4,1.9,1,2,1,1,352.0,3.0,3.0,3.0,3.0,13.4,1.0
R0292,ORG29,1,30,2,1.2,3.4,0,1,1,1,489.0,3.25,3.0,4.0,2.0,1.3,1.0
R0293,ORG29,2,33,3,1.3,2.2,2,2,1,1,345.0,2.4583333333333335,2.5,1.3333333333333333,3.1999999999999997,30.4,1.0
R0294,ORG29,1,32,4,2.0,8.4,2,5,1,2,129.0,2.7916666666666665,2.9166666666666665,3.3333333333333335,2.0,10.5,0.0
R0295,ORG29,1,35,3,5.6,10.1,0,1,1,1,210.0,3.25,2.8333333333333335,3.6666666666666665,2.0,12.3,1.0
R0296,ORG29,2,32,4,5.5,6.8,2,1,2,1,219.0,2.625,2.5,2.0,1.0,8.9,1.0
R0297,ORG29,2,27,3,6.3,11.5,0,1,1,1,392.0,3.3333333333333335,3.4166666666666665,3.0,2.8000000000000003,33.9,0.0
R0298,ORG29,2,34,3,7.3,9.5,1,1,1,1,288.0,2.75,2.8333333333333335,4.333333333333333,2.6,9.4,1.0
R0299,ORG29,2,36,3,2.1,2.6,3,2,1,1,170.0,2.7916666666666665,2.3333333333333335,3.3333333333333335,2.4,12.4,1.0
R0300,ORG30,1,29,3,1.7,3.7,2,1,3,1,161.0,3.2083333333333335,3.4166666666666665,4.666666666666667,2.1999999999999997,7.9,1.0
R0301,ORG30,2,39,2,2.5,5.3,1,3,1,1,229.0,2.5,3.1818181818181817,3.3333333333333335,2.4,4.3,1.0
R0302,ORG30,1,36,3,3.7,7.6,2,1,2,1,291.0,2.0833333333333335,1.6666666666666667,5.0,2.8000000000000003,4.8,1.0
R0303,ORG30,1,33,3,2.3,2.5,3,3,1,1,202.0,2.8333333333333335,3.4166666666666665,3.3333333333333335,1.8,9.6,0.0
R0304,ORG30,2,31,3,4.7,6.6,0,2,2,1,183.0,2.8333333333333335,3.5,4.0,3.1999999999999997,3.4,1.0
R0305,ORG30,2,32,3,1.5,3.5,2,3,1,1,203.0,2.125,2.0833333333333335,4.0,1.5999999999999999,17.1,1.0
R0306,ORG30,2,33,3,4.9,8.7,1,1,2,1,225.0,2.0434782608695654,2.3333333333333335,4.0,2.1999999999999997,2.3,1.0
R0307,ORG30,2,35,1,5.9,13.5,2,3,1,2,234.0,3.125,3.25,3.6666666666666665,3.0,8.2,1.0
R0308,ORG30,2,32,1,8.7,9.7,0,1,2,1,118.0,3.4583333333333335,3.4166666666666665,4.5,3.1999999999999997,7.3,1.0
R0309,ORG31,2,27,2,1.0,5.1,0,1,1,1,217.0,2.6666666666666665,3.0,2.6666666666666665,2.75,9.7,1.0
R0310,ORG31,1,30,3,9.5,12.4,1,1,1,1,229.0,3.3333333333333335,3.6666666666666665,3.6666666666666665,4.2,32.2,0.0
R0311,ORG31,2,28,3,0.3,3.2,2,1,1,1,378.0,3.875,4.75,1.6666666666666667,3.8000000000000003,19.6,0.0
R0312,ORG31,2,20,2,1.4,1.8,1,1,1,1,344.0,3.7083333333333335,3.3333333333333335,3.0,4.0,33.2,0.0
R0313,ORG31,2,34,4,3.4,4.6,2,5,1,1,325.0,2.782608695652174,3.9166666666666665,3.3333333333333335,3.0,1.4,1.0
R0314,ORG31,1,29,3,1.5,1.6,4,1,3,1,,2.0,2.1818181818181817,4.333333333333333,3.8000000000000003,5.8,1.0
R0315,ORG31,2,30,3,1.4,2.5,3,3,1,1,489.0,3.2083333333333335,3.0,2.6666666666666665,4.2,5.3,1.0
R0316,ORG31,1,30,2,1.5,2.3,0,1,1,1,233.0,3.0416666666666665,2.4166666666666665,4.0,4.0,1.7,1.0
R0317,ORG31,2,27,2,3.0,5.4,3,2,1,1,264.0,3.5,3.5,2.6666666666666665,2.6,27.2,0.0
R0318,ORG31,1,29,5,3.8,6.6,0,1,1,1,371.0,3.25,3.0,1.0,3.4,19.4,1.0
R0319,ORG32,1,37,2,0.4,3.2,4,1,1,2,236.0,2.4166666666666665,3.25,3.6666666666666665,3.0,18.7,1.0
R0320,ORG32,2,36,3,9.8,11.1,2,1,3,1,250.0,3.0869565217391304,3.4166666666666665,3.3333333333333335,3.1999999999999997,1.7,1.0
R0321,ORG32,2,22,4,1.1,4.4,1,1,1,2,238.0,3.2916666666666665,2.8333333333333335,3.0,1.8,5.0,1.0
R0322,ORG32,1,34,4,0.6,1.7,1,1,2,1,196.0,3.8333333333333335,3.0,3.6666666666666665,4.3999999999999995,9.3,1.0
R0323,ORG32,2,25,3,7.9,10.3,2,1,1,1,128.0,2.5,2.8333333333333335,4.0,3.8000000000000003,10.9,1.0
R0324,ORG32,1,30,3,2.0,3.5,3,1,1,2,256.0,3.125,3.9166666666666665,2.6666666666666665,2.0,4.0,1.0
R0325,ORG32,1,36,3,2.8,13.3,3,1,2,1,1435.0,3.125,2.9166666666666665,3.6666666666666665,3.0,3.5,1.0
R0326,ORG32,1,27,3,0.4,4.3,3,1,1,1,233.0,2.9583333333333335,4.0,4.0,4.0,16.7,0.0
R0327,ORG32,2,23,3,0.2,1.3,2,1,1,1,240.0,3.3333333333333335,2.75,2.6666666666666665,1.8,28.5,0.0
R0329,ORG32,1,22,3,0.5,2.4,1,2,2,1,239.0,2.875,3.1666666666666665,3.3333333333333335,3.0,4.9,1.0
R0330,ORG32,1,32,3,3.9,6.7,2,1,1,1,422.0,2.6666666666666665,3.4166666666666665,4.0,3.75,6.3,1.0
R0331,ORG33,2,38,3,2.3,3.5,0,1,3,1,124.0,3.4583333333333335,4.333333333333333,3.3333333333333335,4.3999999999999995,28.0,0.0
R0332,ORG33,1,36,3,5.2,8.3,5,1,1,1,152.0,3.0,3.0,3.0,3.0,0.8,1.0
R0333,ORG33,2,23,3,2.6,5.5,1,2,1,1,181.0,3.6666666666666665,4.0,2.6666666666666665,3.0,26.3,0.0
R0334,ORG33,2,30,3,2.1,2.4,1,1,1,1,,3.125,3.5,1.3333333333333333,2.6,27.1,1.0
R0335,ORG33,2,30,1,8.3,13.7,5,3,1,1,218.0,3.0,3.0,3.0,3.0,4.3,1.0
R0336,ORG33,2,31,2,4.4,7.9,1,1,1,1,826.0,4.416666666666667,3.5,2.3333333333333335,4.2,13.8,1.0
R0337,ORG33,2,32,1,2.4,3.3,0,1,1,2,272.0,3.0,3.0,3.0,3.0,1.6,1.0
R0338,ORG33,1,34,3,3.3,5.2,3,1,3,1,238.0,2.625,3.9166666666666665,3.6666666666666665,3.0,6.9,1.0
R0339,ORG33,1,29,2,0.1,2.9,2,2,1,1,371.0,2.8333333333333335,4.416666666666667,2.6666666666666665,4.25,17.1,0.0
R0340,ORG33,2,42,3,5.7,11.5,0,1,2,1,174.0,2.6666666666666665,2.6666666666666665,4.333333333333333,3.4,0.6,1.0
R0341,ORG33,2,26,3,0.5,1.3,2,2,2,1,338.0,3.2083333333333335,3.0833333333333335,3.6666666666666665,5.0,31.8,0.0
R0342,ORG33,1,30,3,7.4,11.6,0,1,3,1,187.0,3.25,2.3333333333333335,4.666666666666667,2.1999999999999997,9.1,1.0
R0343,ORG33,2,34,5,9.0,9.9,1,2,1,1,252.0,2.0,3.0,5.0,2.0,0.7,1.0
R0344,ORG34,2,28,2,6.5,12.4,0,3,1,1,367.0,2.375,3.9166666666666665,3.6666666666666665,2.6,12.3,1.0
R0345,ORG34,1,28,3,3.5,5.8,1,3,1,1,163.0,2.75,3.0,2.6666666666666665,3.0,6.8,1.0
R0347,ORG34,2,25,3,3.1,4.7,1,2,1,1,333.0,2.869565217391304,3.3333333333333335,1.0,2.6,21.9,0.0
R0348,ORG34,2,26,3,5.1,5.2,2,1,3,1,186.0,3.25,4.083333333333333,2.0,2.4,11.6,0.0
R0349,ORG34,2,27,2,1.2,3.9,1,1,1,1,,2.5416666666666665,1.9166666666666667,4.333333333333333,3.4,4.4,1.0
R0350,ORG35,1,41,2,5.1,11.4,3,3,1,1,726.0,2.7083333333333335,3.8333333333333335,2.6666666666666665,3.1999999999999997,12.4,0.0
R0351,ORG35,2,32,3,1.9,10.6,3,1,1,1,244.0,3.0833333333333335,3.0,2.6666666666666665,4.0,21.3,0.0
R0352,ORG35,2,34,3,0.5,2.3,2,3,1,1,307.0,2.5833333333333335,3.25,3.6666666666666665,3.4,22.5,0.0
R0353,ORG35,2,29,3,0.1,5.5,0,2,2,1,118.0,2.0416666666666665,3.25,2.3333333333333335,4.0,16.0,1.0
R0354,ORG35,1,25,3,5.6,8.2,1,1,1,1,234.0,2.2916666666666665,3.3333333333333335,3.6666666666666665,3.4,35.8,0.0
R0356,ORG35,2,31,3,12.6,13.9,1,1,1,1,149.0,2.25,2.0833333333333335,4.0,3.0,3.1,1.0
R0357,ORG35,2,28,3,1.8,3.8,1,1,1,1,279.0,2.8333333333333335,2.25,4.0,2.6,0.3,1.0
R0358,ORG35,2,36,1,1.8,3.4,3,1,1,1,227.0,2.8333333333333335,2.8333333333333335,1.3333333333333333,2.8000000000000003,12.8,0.0
R0359,ORG36,2,28,3,0.6,3.9,2,4,2,1,244.0,3.0,3.0,3.0,3.0,1.0,1.0
R0361,ORG36,2,32,3,1.4,2.5,0,1,1,1,400.0,3.3333333333333335,3.9166666666666665,2.6666666666666665,3.0,15.6,0.0
R0362,ORG36,2,42,2,3.9,7.7,1,3,1,1,442.0,4.041666666666667,4.666666666666667,2.0,4.6000000000000005,12.2,0.0
R0363,ORG36,1,34,3,3.1,4.7,0,1,1,1,279.0,3.0,3.5833333333333335,2.6666666666666665,4.0,13.6,0.0
R0365,ORG36,1,32,2,5.9,7.9,1,1,1,1,266.0,2.9130434782608696,3.6666666666666665,3.3333333333333335,2.1999999999999997,24.7,1.0
R0366,ORG36,2,36,1,5.5,7.2,1,2,3,1,261.0,2.875,3.3333333333333335,5.0,2.1999999999999997,3.1,1.0
R0367,ORG36,1,36,2,1.3,4.7,0,2,3,1,242.0,2.875,3.3333333333333335,3.0,4.2,13.8,1.0
R0368,ORG36,2,36,3,5.5,7.7,1,1,3,1,,3.2083333333333335,3.75,2.6666666666666665,4.2,15.1,1.0
R0369,ORG36,2,27,3,4.5,8.6,2,1,1,1,158.0,3.0,3.0,3.0,3.0,32.4,0.0
R0370,ORG36,1,40,3,1.5,4.8,2,1,3,2,325.0,3.5833333333333335,4.25,2.6666666666666665,2.0,20.8,0.0
R0371,ORG36,2,28,2,0.5,2.7,3,1,1,1,281.0,3.6666666666666665,3.5,3.3333333333333335,2.6,18.8,1.0
R0372,ORG37,2,30,3,1.7,5.1,4,2,1,1,269.0,3.25,3.0,3.3333333333333335,3.6,15.0,1.0
R0373,ORG37,1,27,3,2.4,3.9,4,2,1,1,168.0,3.5833333333333335,3.0,3.6666666666666665,3.0,1.1,1.0
R0374,ORG37,2,32,3,3.1,3.6,2,1,1,1,294.0,2.75,3.8333333333333335,2.3333333333333335,4.3999999999999995,17.3,0.0
R0375,ORG37,2,40,3,2.6,5.9,1,2,1,1,228.0,2.7083333333333335,2.3333333333333335,4.0,4.2,12.2,0.0
R0376,ORG37,1,31,3,10.1,11.5,1,2,3,1,422.0,2.625,3.25,2.3333333333333335,3.4,32.8,0.0
R0378,ORG37,2,34,4,2.1,3.9,1,1,1,2,336.0,3.375,4.166666666666667,3.6666666666666665,3.8000000000000003,11.2,1.0
R0380,ORG37,2,27,3,2.3,4.1,6,1,2,1,256.0,2.9166666666666665,2.6666666666666665,3.0,3.8000000000000003,1.3,1.0
R0381,ORG37,1,28,2,1.8,6.3,0,1,3,1,242.0,2.739130434782609,3.3333333333333335,3.6666666666666665,3.8000000000000003,10.6,0.0
R0382,ORG38,1,32,3,1.0,2.0,1,1,3,1,140.0,2.8333333333333335,3.4166666666666665,2.3333333333333335,3.4,14.7,1.0
R0383,ORG38,1,35,4,6.6,10.2,0,2,1,1,141.0,2.5,3.5833333333333335,4.0,3.8000000000000003,17.6,1.0
R0384,ORG38,2,27,3,1.6,1.9,0,1,2,1,435.0,3.1666666666666665,3.25,3.0,3.6,17.8,1.0
R0385,ORG38,2,28,2,1.0,4.3,2,2,1,1,145.0,3.2083333333333335,3.9166666666666665,2.0,2.1999999999999997,13.3,0.0
R0387,ORG38,2,27,3,4.6,6.6,3,1,1,2,503.0,3.6666666666666665,4.083333333333333,4.666666666666667,3.5,24.2,0.0
R0388,ORG38,2,34,2,0.5,4.7,0,1,1,1,375.0,1.875,2.9166666666666665,3.6666666666666665,3.0,5.9,1.0
R0389,ORG38,2,28,3,1.1,7.2,0,2,3,1,231.0,3.75,2.9166666666666665,3.3333333333333335,3.6,16.4,0.0
R0390,ORG38,1,29,2,7.6,9.7,3,2,1,1,,3.2916666666666665,3.6666666666666665,3.6666666666666665,3.0,24.2,0.0
R0392,ORG38,1,37,3,2.7,4.1,2,2,1,1,,3.0833333333333335,2.25,2.6666666666666665,3.1999999999999997,11.9,1.0
R0393,ORG39,2,30,3,6.8,8.0,2,1,1,1,354.0,2.5833333333333335,2.5,3.0,3.1999999999999997,4.7,1.0
R0394,ORG39,2,32,3,8.6,11.5,2,2,1,1,150.0,3.0,3.9166666666666665,3.3333333333333335,4.2,29.7,0.0
R0395,ORG39,1,30,1,2.3,6.0,1,1,3,2,108.0,2.9130434782608696,3.5833333333333335,2.3333333333333335,3.8000000000000003,4.4,1.0
R0397,ORG39,1,35,3,6.2,6.9,2,3,1,1,275.0,3.0416666666666665,3.0833333333333335,4.333333333333333,3.4,13.5,0.0
R0398,ORG39,1,29,1,2.5,5.6,1,1,1,1,193.0,3.0,3.0,3.0,3.0,5.8,1.0
R0399,ORG39,1,34,3,4.4,6.8,2,1,1,1,580.0,2.5833333333333335,2.9166666666666665,3.6666666666666665,3.6,14.6,1.0
R0400,ORG39,2,24,4,4.5,6.0,2,2,1,1,211.0,3.1666666666666665,3.5833333333333335,3.3333333333333335,3.8000000000000003,9.5,0.0
R0401,ORG39,1,29,3,3.6,8.0,2,3,1,1,263.0,3.0,3.25,2.6666666666666665,3.8000000000000003,1.0,1.0
R0402,ORG39,2,28,3,7.1,8.2,1,1,1,2,192.0,2.75,4.166666666666667,2.6666666666666665,3.4,17.5,0.0
R0403,ORG39,2,29,4,2.7,5.9,2,4,3,1,261.0,3.0869565217391304,3.6666666666666665,2.0,4.2,2.5,1.0
R0404,ORG39,2,34,3,1.9,3.0,1,1,1,1,181.0,3.125,2.8333333333333335,2.6666666666666665,3.6,17.5,1.0
R0405,ORG40,2,29,3,0.8,3.5,1,1,3,1,154.0,2.4166666666666665,3.0,5.0,4.3999999999999995,2.6,1.0
R0407,ORG40,2,27,3,1.0,3.3,0,2,1,2,306.0,3.7083333333333335,4.25,1.3333333333333333,4.2,25.3,0.0
R0408,ORG40,1,27,4,0.5,4.4,3,1,1,1,216.0,3.0,3.0,3.0,3.0,4.6,1.0
R0409,ORG40,2,27,2,1.8,2.9,0,1,1,1,371.0,3.5416666666666665,2.8333333333333335,3.6666666666666665,4.6000000000000005,20.8,0.0
R0410,ORG40,2,28,3,3.0,8.0,3,1,1,1,197.0,2.9583333333333335,3.25,2.3333333333333335,4.0,17.5,0.0
R0411,ORG40,1,23,3,1.5,8.9,0,3,1,1,573.0,2.875,3.3333333333333335,2.3333333333333335,3.4,14.6,0.0
R0412,ORG40,1,44,4,1.3,3.9,3,1,3,1,246.0,2.9583333333333335,1.9166666666666667,5.0,4.2,0.3,1.0
R0413,ORG40,2,36,5,0.2,6.9,2,3,3,1,411.0,2.869565217391304,3.5,1.0,4.8,35.3,0.0
R0414,ORG40,2,23,3,1.2,2.4,0,3,3,2,174.0,2.7083333333333335,2.6666666666666665,2.6666666666666665,3.75,23.9,1.0
R0415,ORG41,1,25,3,1.9,3.1,0,1,1,1,160.0,2.5652173913043477,3.0833333333333335,4.333333333333333,2.6,11.2,1.0
R0416,ORG41,1,32,2,2.6,3.6,3,2,1,1,207.0,3.1666666666666665,3.0833333333333335,3.0,2.8000000000000003,16.0,0.0
R0417,ORG41,1,28,1,11.3,12.1,2,1,1,1,204.0,3.125,4.5,1.6666666666666667,4.6000000000000005,25.0,0.0
R0419,ORG41,2,23,1,0.7,3.5,2,1,1,1,243.0,3.4166666666666665,3.25,3.0,4.0,0.7,1.0
R0420,ORG41,1,27,3,0.4,1.1,0,1,2,1,,2.5,3.5833333333333335,4.333333333333333,2.0,9.8,0.0
R0421,ORG41,1,33,3,6.7,7.7,0,1,1,1,132.0,2.375,2.5833333333333335,3.3333333333333335,2.4,5.4,1.0
R0422,ORG41,2,35,3,8.3,10.1,2,2,1,1,263.0,2.6666666666666665,2.9166666666666665,4.666666666666667,4.3999999999999995,20.8,1.0
R0423,ORG41,2,34,1,2.1,4.4,3,1,1,2,245.0,2.5416666666666665,3.3333333333333335,4.333333333333333,3.8000000000000003,12.8,1.0
R0425,ORG41,2,43,3,5.9,10.7,2,3,2,1,273.0,2.9166666666666665,3.5,3.6666666666666665,3.8000000000000003,0.3,1.0
R0426,ORG41,1,29,4,4.5,7.0,0,2,2,1,219.0,3.9583333333333335,3.3333333333333335,3.0,4.3999999999999995,20.8,1.0
R0427,ORG42,2,29,3,1.2,2.7,2,3,3,1,468.0,2.3043478260869565,2.0833333333333335,3.3333333333333335,2.6,1.5,1.0
R0428,ORG42,2,32,3,3.2,8.1,5,1,2,1,249.0,3.1739130434782608,2.5,3.5,2.1999999999999997,3.4,1.0
R0430,ORG42,2,31,3,3.2,4.2,0,1,1,1,157.0,2.1666666666666665,3.3333333333333335,5.0,3.4,14.9,1.0
R0431,ORG42,1,22,3,7.0,10.0,2,1,2,1,252.0,3.0416666666666665,3.25,3.0,4.0,13.2,1.0
