rid,sex,age,tenure_yr,SC_TOT,PC_TOT,CM_TOT,JP_TOT,PA_TOT
R0414,2,23,1.2,2.7083333333333335,3.2,3.1875,2.75,4.25
R0415,1,25,1.9,2.5652173913043477,2.2,2.25,3.25,3.625
R0416,1,32,2.6,3.1666666666666665,2.95,3.6875,3.5,3.5
R0417,1,28,11.3,3.125,3.75,3.875,3.75,3.0
R0419,2,23,0.7,3.4166666666666665,3.65,4.1875,4.333333333333333,3.25
R0420,1,27,0.4,2.5,2.85,3.4375,3.0,2.25
R0421,1,33,6.7,2.375,3.526315789473684,3.125,2.25,3.5
R0422,2,35,8.3,2.6666666666666665,3.65,3.6,4.0,4.0
R0423,2,34,2.1,2.5416666666666665,3.65,3.4375,3.5,2.7142857142857144
R0425,2,43,5.9,2.9166666666666665,2.95,3.125,3.25,2.5
R0426,1,29,4.5,3.9583333333333335,3.55,4.3125,4.25,4.25
R0427,2,29,1.2,2.3043478260869565,2.65,2.75,3.25,2.375
R0428,2,32,3.2,3.1739130434782608,2.65,2.0625,2.0,3.25
R0430,2,31,3.2,2.1666666666666665,2.45,2.8125,3.5,2.125
R0431,1,22,7.0,3.0416666666666665,3.95,3.25,2.0,3.0
R0432,1,30,3.0,3.0416666666666665,3.05,3.0625,2.5,3.125
R0433,1,35,6.8,2.625,3.15,3.25,4.25,3.125
R0434,2,27,3.7,3.0416666666666665,3.0,3.625,3.5,2.75
R0435,2,30,1.8,3.5416666666666665,2.3,2.6875,1.0,2.25
R0436,1,41,3.6,3.4583333333333335,2.65,3.3125,3.5,3.0
R0437,2,29,0.0,3.5416666666666665,2.6,3.125,2.5,1.75
R0439,2,29,3.3,4.0,4.578947368421052,4.5625,4.75,4.625
R0440,2,26,3.6,3.0416666666666665,4.2631578947368425,3.375,3.0,4.625
R0441,1,22,1.4,3.25,3.75,3.1875,3.25,2.875
R0442,2,30,1.4,2.625,2.473684210526316,2.0625,2.25,2.125
R0443,2,25,1.2,3.375,4.1,4.1875,4.75,4.75
R0445,2,22,0.4,3.6666666666666665,3.9,3.0625,4.5,3.625
R0446,2,31,2.2,3.0,2.35,2.6875,3.0,2.5
R0447,2,32,2.4,2.875,2.65,2.5625,2.0,2.375
R0448,1,24,3.2,2.9583333333333335,3.45,2.9375,3.0,2.75
R0449,1,37,4.4,2.4583333333333335,2.0,3.1333333333333333,3.0,2.625
R0450,1,31,0.7,3.5,3.5,4.0,4.75,3.0
R0451,2,24,3.9,3.0416666666666665,2.2,3.0,2.5,2.875
R0452,1,41,5.0,2.875,3.8,3.4375,3.0,3.625
R0453,1,35,3.5,3.2916666666666665,3.35,2.3125,3.0,2.7142857142857144
R0454,1,36,7.7,3.75,3.2,2.5625,2.5,3.625
R0455,2,36,2.3,3.4583333333333335,4.0,3.875,5.0,2.625
R0456,2,32,0.7,2.7083333333333335,2.8,4.0,4.0,4.25
R0457,1,33,2.2,3.125,3.5,3.125,3.25,2.75
R0458,2,36,5.7,2.7916666666666665,2.3,2.9375,3.25,3.0
R0459,1,29,0.8,3.130434782608696,3.7,3.3125,2.75,3.875
R0460,1,28,0.2,2.625,3.1,3.25,3.25,2.75
R0462,1,39,1.8,3.0,3.8947368421052633,4.0,4.0,3.75
R0463,1,30,2.2,3.3333333333333335,3.25,3.6875,2.0,2.875
R0464,1,32,3.8,3.25,4.55,3.8125,4.5,4.125
R0465,2,33,3.9,2.75,2.35,3.1875,3.0,2.7142857142857144
R0466,1,31,7.9,3.25,2.5,2.875,3.0,2.125
R0467,1,30,1.1,3.4583333333333335,3.35,4.375,4.5,4.125
R0468,1,38,8.7,2.625,3.3,1.8125,2.25,3.0
